description,category,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
 spirulina,raw,Seaweed,100,26,0.4,0.1,0,98,6.5,9,0,1.196,0.325,0.342,0.222,56,3,0,33,0,0,0,0,0.034,0.90.00,0.49,0.49,2.5,12,0.597,2.79,19,0.186,11,127,0.7,0.2,5.92,0.465,0.427,0.597,0.068,0.864,0.319,0.112,0,0.331,0.509,0.312,0.1180.286,0.245,0.309,0.306,0.096,0.266,0.362,2.42,0.4,0.3,0,0,0,0,0,0,0.39,0.135,0.034,0.106,0,0,0.6,0,0,90.67,,
 defatted,raw,Soy meal,100,337,2.4,0.3,0,3,0,303,0,2.587,1.976,0.251,0.691,40,2,0,0,0,0,0,0,0.569,0.00.00,0,0,0,244,2,13.7,306,3.8,701,2490,3.3,5.06,49.2,2.117,3.487,5.651,0.724,8.705,2.078,1.212,0,2.18,3.66,2.991,0.6062.346,2.629,2.605,1.952,0.653,1.7,2.243,35.89,0,0,0,0,0,0,0,0,2.39,0.268,0.409,1.045,0,0,5.58,0,0,6.94,,
 coconut meat,raw,Nuts,100,354,33,30,0,20,12.1,26,0,0.54,0.3,0.02,0.066,0,0,0,0,0,0,0,0,0.054,3.30.00,0.24,0.24,0.2,14,0.435,2.43,32,1.5,113,356,10.1,1.1,3.33,0.17,0.546,0.325,0.066,0.761,0.158,0.077,0,0.131,0.247,0.147,0.0620.169,0.138,0.172,0.121,0.039,0.103,0.202,15.23,9,6.23,0,0,0,0,0,0,33.49,29.698,1.425,0.366,0,0,0.97,0,0,46.99,,
 strawberry,raw,Guavas,100,69,0.6,0.2,0,37,0,0,0,0.6,0,0.03,0.03,90,5,0,0,0,0,0,0,0,37,0,0,0,21,0,0.22,17,0,27,292,0,0,0.58,0.029,0.015,0.037,0,0.076,0.029,0.005,0,0.021,0.039,0.016,0.0040.001,0.018,0.017,0.022,0.005,0.007,0.02,17.36,5.4,0,0,0,0,0,0,0,0.6,0.172,0.055,0.253,0,0,0.8,0,0,80.66,,
 oriental,raw,Radishes,100,18,0.1,,0,21,7.3,28,0,0.2,0.138,0.02,0.02,0,0,0,0,0,0,0,0,0.046,22.00.00,0,0,0.3,27,0.115,0.4,16,0.038,23,227,0.7,0.15,0.6,0.019,0.035,0.041,0.005,0.113,0.019,0.011,0,0.026,0.031,0.03,0.0060.020,0.015,0.018,0.025,0.003,0.011,0.028,4.1,1.6,2.5,0,0,0,0,0,0,0.1,0.03,0.017,0.045,0,0,0.58,0,0,94.62,,
 maitake,raw,Mushrooms,100,31,0.2,,0,1,51.1,21,0,6.585,0.27,0.242,0.146,0,0,0,0,0,0,0,0,0.056,0.01123.00,0.01,0.01,0,1,0.252,0.3,10,0.059,74,204,2.2,0.75,1.94,0.124,0.1,0.205,0.025,0.264,0.09,0.045,0,0.055,0.08,0.09,0.0150.060,0.06,0.1,0.095,0.035,0.07,0.1,6.97,2.7,2.07,0,0,1.74,0.33,0,0,0.19,0.03,0.03,0.09,0,0,0.53,0,0,90.37,,
 cantaloupe,raw,Melons,100,34,0.2,0.1,0,16,7.6,21,0,0.734,0.105,0.019,0.041,3382,169,16,2020,1,26,0,0,0.072,36.70.00,0.05,0.05,2.5,9,0.041,0.21,12,0.041,15,267,0.4,0.18,0.84,0.095,0.029,0.136,0.002,0.209,0.026,0.015,0,0.021,0.029,0.03,0.0120.023,0.019,0.042,0.017,0.002,0.014,0.033,8.16,0.9,7.86,1.87,0.06,1.54,0,0.04,4.35,0.19,0.051,0.003,0.081,0,0,0.65,0,0,90.15,,
 native,raw,Persimmons,100,127,0.4,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,27,0,2.5,0,0,26,310,0,0,0.8,0.039,0.034,0.079,0.018,0.104,0.035,0.016,0,0.035,0.058,0.045,0.0070.036,0.031,0.031,0.041,0.014,0.023,0.042,33.5,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.9,0,0,64.4,,
 caribou,raw,Game meat,100,127,3.4,1.3,83,57,0,4,0,5.5,2.55,0.72,0.32,0,0,0,0,0,0,0,6.31,0.37,0,0,0,0,17,0.222,4.69,26,0.078,208,295,10.2,4,22.63,1.211,1.346,2.001,0.163,3.551,0.949,0.896,0,1.024,1.867,2.049,0.5061.006,0.703,0.795,0.967,0.348,0.742,1.063,0,0,0,0,0,0,0,0,0,3.36,1.29,1.01,0.47,83,0,1.14,0,0,71.45,,
 lotus seeds,raw,Seeds,100,89,0.5,0.1,0,1,0,28,0,0.429,0.228,0.04,0.171,13,1,0,0,0,0,0,0,0.168,0.00.00,0,0,0,44,0.094,0.95,56,0.621,168,367,0,0.28,4.13,0.239,0.338,0.505,0.054,0.957,0.221,0.115,0,0.205,0.326,0.264,0.0720.206,0.344,0.252,0.2,0.059,0.1,0.266,17.28,0,0,0,0,0,0,0,0,0.53,0.088,0.104,0.312,0,0,1.07,0,0,77,,
 ocean,raw,Fish,100,79,0.9,0.3,52,61,0,7,0,2.1,0.15,0.06,0.08,40,12,0,0,0,0,0,0.9,0.24,0,0,0,0,10,0.032,0.28,13,0.015,200,400,36.5,1.03,16.64,1.006,0.996,1.704,0.178,2.484,0.799,0.49,0,0.767,1.352,1.528,0.4920.650,0.588,0.679,0.729,0.186,0.562,0.857,0,0,0,0,0,0,0,0,0,0.91,0.32,0.329,0.032,52,0,1.13,0,0,81.36,,
 oyster,raw,Mushrooms,100,33,0.4,0.1,0,18,48.7,38,0,4.956,1.294,0.349,0.125,48,2,0,29,0,0,0,0,0.11,0.029.00,0,0,0,3,0.244,1.33,18,0.113,120,420,2.6,0.77,3.31,0.239,0.182,0.295,0.028,0.632,0.126,0.07,0,0.112,0.168,0.126,0.0420.112,0.042,0.126,0.14,0.042,0.084,0.197,6.09,2.3,1.11,0,0,1.11,0,0,0,0.41,0.062,0.031,0.123,0,0,1.01,0,0,89.18,,
,raw,Ice creams,100,192,8.4,5.2,29,60,0,12,0,0.17,0.72,0.255,0.045,320,96,0,0,0,0,0,0.3,0.05,7.7,0,0,0,120,0.037,0.21,14,0.078,100,188,1.9,0.34,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6,0.9,0,0,0,0,4.43,0,0,8.4,5.19,0,0,29,0,0.7,0,0,60,,
 red leaf,raw,Lettuce,100,16,0.2,,0,25,11.8,36,0,0.321,0.144,0.077,0.064,7492,375,0,4495,0,1724,0,0,0.1,3.70.00,0.15,0.15,140.3,33,0.028,1.2,12,0.203,28,187,1.5,0.2,1.33,0.051,0.041,0.14,0.009,0.155,0.048,0.019,0,0.038,0.07,0.045,0.0160.067,0.038,0.044,0.048,0.022,0.029,0.048,2.26,0.9,0.48,0.28,0,0.2,0,0,0,0.22,0.017,0.005,0.072,0,0,0.55,0,0,95.64,,
 beaver,raw,Game meat,100,146,4.8,,0,51,0,0,0,1.9,0,0.22,0.06,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,6.9,25,0,237,348,26.6,0,24.05,1.116,1.478,1.912,0,3.436,0.912,0.947,0,1.027,1.897,2.236,0.5460.977,0.862,0.797,0.916,0,0.75,0.981,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,1,0,0,70.97,,
 (fuki),raw,Butterbur,100,14,0,,0,7,0,10,0,0.2,0.032,0.02,0.02,50,3,0,0,0,0,0,0,0.096,31.50.00,0,0,0,103,0.103,0.1,14,0.274,12,655,0.9,0.16,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,1.46,0,0,94.5,,
 virginia,raw,Peanuts,100,563,49,6.4,0,10,0,239,0,12.375,1.759,0.131,0.653,0,0,0,0,0,0,0,0,0.346,0.00.00,6.56,6.56,0,89,1.112,2.55,171,1.696,380,690,7.1,4.43,25.19,1.001,3.013,3.073,0.323,5.265,1.518,0.637,0,0.886,1.633,0.904,0.3091.306,1.112,1.241,0.863,0.245,1.024,1.057,16.54,8.5,3.95,0,0,0,0,0,0,48.75,6.434,25.58,14.877,0,0,2.61,0,0,6.91,,
 valencia,raw,Peanuts,100,570,48,7.3,0,1,0,246,0,12.875,1.809,0.3,0.639,0,0,0,0,0,0,0,0,0.34,0.00.00,0,0,0,62,1.171,2.09,184,1.98,336,332,7.3,3.34,25.09,0.997,3.001,3.06,0.322,5.243,1.512,0.634,0,0.882,1.627,0.901,0.3081.300,1.107,1.236,0.859,0.244,1.02,1.052,20.91,8.7,0,0,0,0,0,0,0,47.58,7.329,21.414,16.5,0,0,2.17,0,0,4.26,,
 cashew nuts,raw,Nuts,100,553,44,7.8,0,12,0,25,0,1.062,0.864,0.058,0.423,0,0,0,0,0,22,0,0,0.417,0.50.00,0.9,0.9,34.1,37,2.195,6.68,292,1.655,593,660,19.9,5.78,18.22,0.837,2.123,1.795,0.393,4.506,0.937,0.456,0,0.789,1.472,0.928,0.3620.951,0.812,1.079,0.688,0.287,0.508,1.094,30.19,3.3,5.91,0.05,0,0.05,0,0,5.81,43.85,7.783,23.797,7.845,0,0,2.54,0,0,5.2,,
 mature seeds,raw,Beans,100,347,1.2,0.2,0,12,66.2,525,0,1.174,0.785,0.212,0.713,0,0,0,0,0,0,0,0,0.474,6.30.00,0.21,0.21,5.6,113,0.893,5.07,176,1.148,411,1393,27.9,2.28,21.42,0.872,1.096,2.268,0.187,3.027,0.796,0.556,0,0.871,1.558,1.356,0.2591.095,1.072,1.171,0.81,0.237,0.427,0.998,62.55,15.5,2.11,0,0,0.13,0,0,1.98,1.23,0.235,0.229,0.407,0,0,3.46,0,0,11.33,,
 mature seeds,raw,Hyacinth beans,100,344,1.7,0.3,0,21,0,23,0,1.61,1.237,0.136,1.13,0,0,0,0,0,0,0,0,0.155,0.00.00,0,0,0,130,1.335,5.1,283,1.573,372,1235,8.2,9.3,23.9,1.067,1.755,2.821,0.279,3.88,1.028,0.684,0,1.143,2.026,1.632,0.1911.204,1.162,1.315,0.925,0.199,0.853,1.239,60.74,25.6,0,0,0,0,0,0,0,1.69,0.288,0.076,0.715,0,0,4.29,0,0,9.38,,
,raw,Cloudberries,100,51,0.8,,0,0,0,0,0,0.9,0,0.07,0.05,210,0,0,0,0,0,0,0,0,158,0,0,0,18,0,0.7,0,0,35,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,1.2,0,0,87,,
 young pods with seeds,raw,Cowpeas,100,44,0.3,0.1,0,4,22,53,0,1.2,0.945,0.14,0.15,1369,68,55,794,0,932,0,0,0.173,33.00.00,0.49,0.49,31.5,65,0.1,1,58,0.308,65,215,0.9,0.34,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,3.3,5.04,0,0,0,0,0,0,0.3,0.079,0.027,0.127,0,0,0.9,0,0,86,,
 mixed species,raw,Mollusks,100,92,1.4,0.4,233,44,65,5,0,2.175,0.5,0.412,0.02,33,10,0,0,0,0,0,1.3,0.056,4.70.00,1.2,1.2,0,32,1.891,0.68,33,0.035,221,246,44.8,1.53,15.58,0.942,1.136,1.503,0.204,2.118,0.974,0.299,0,0.678,1.096,1.164,0.3510.558,0.635,0.698,0.67,0.174,0.498,0.68,3.08,0,0,0,0,0,0,0,0,1.38,0.358,0.107,0.524,233,0,1.41,0,0,78.55,,
 alaska king,raw,Crustaceans,100,84,0.6,0.1,42,836,0,44,0,1.1,0.35,0.043,0.043,24,7,0,0,0,0,0,9,0.15,7,0,0,0,46,0.922,0.59,49,0.035,219,204,36.4,5.95,18.29,1.036,1.598,1.891,0.205,3.12,1.103,0.372,0,0.887,1.452,1.592,0.5150.773,0.603,0.72,0.741,0.255,0.609,0.861,0,0,0,0,0,0,0,0,0,0.6,0.09,0.08,0.13,42,0,1.8,0,0,79.57,,
 mixed species,raw,Fish,100,134,5.9,0.9,60,51,65,15,0,3,0.75,0.12,0.14,120,36,0,0,0,0,0,1,0.3,0.0478.00,0.2,0.2,0.1,26,0.072,0.37,33,0.067,270,317,12.6,0.99,19.09,1.154,1.142,1.955,0.205,2.849,0.916,0.562,0,0.88,1.551,1.753,0.5650.745,0.675,0.779,0.837,0.214,0.644,0.983,0,0,0,0,0,0,0,0,0,5.86,0.906,1.996,2.149,60,0,1.12,0,0,72.77,,
 mature seeds,raw,Cowpeas,100,343,2.1,0.5,0,58,0,639,0,2.795,1.511,0.17,0.68,33,2,0,0,0,0,0,0,0.361,1.50.00,0,0,0,85,1.059,9.95,333,1.544,438,1375,9.1,6.11,23.85,1.088,1.652,2.881,0.263,4.518,0.985,0.74,0,0.969,1.828,1.614,0.3401.393,1.072,1.194,0.908,0.294,0.771,1.137,59.64,10.7,0,0,0,0,0,0,0,2.07,0.542,0.173,0.889,0,0,3.39,0,0,11.05,,
 mixed species,raw,Fish,100,97,2,0.5,41,68,60.8,5,0,1.6,0.75,0.12,0.11,154,46,0,0,0,0,0,0.3,0.4,0.0226.00,0.84,0.84,0.1,10,0.019,0.29,41,0.015,194,256,36.5,0.4,18.43,1.115,1.103,1.887,0.198,2.751,0.885,0.543,0,0.849,1.498,1.693,0.5460.720,0.652,0.752,0.808,0.206,0.622,0.95,0,0,0,0,0,0,0,0,0,2,0.511,0.424,0.743,41,0,1.09,0,0,78.27,,
 mixed species,raw,Fish,100,104,3.6,1,83,58,0,5,0,2.4,0.75,0.17,0.06,100,30,0,0,0,0,0,3,0.4,0,0,0,0,17,0.03,0.27,31,0.015,250,341,36.5,0.45,16.74,1.013,1.002,1.715,0.179,2.5,0.804,0.493,0,0.772,1.361,1.538,0.4960.654,0.592,0.683,0.734,0.188,0.565,0.863,0,0,0,0,0,0,0,0,0,3.61,1.009,0.884,0.725,83,0,1.26,0,0,78.09,,
 liver,raw,Walrus,100,125,3,,0,0,0,0,0,0,0,1.91,0.08,81200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,0,0,208,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,71.5,,
 flesh and skin,raw,Potatoes,100,70,0.1,,0,18,16.4,18,0,1.149,0.279,0.031,0.081,7,0,0,4,0,21,0,0,0.17,8.60.00,0.01,0.01,2.9,10,0.134,0.73,22,0.141,61,455,0.5,0.33,1.89,0.058,0.093,0.442,0.022,0.323,0.052,0.032,0,0.061,0.09,0.098,0.0290.075,0.058,0.069,0.062,0.019,0.044,0.095,15.9,1.7,1.29,0.31,0,0.4,0,0,0.29,0.14,0.035,0.003,0.059,0,0,1.1,0,0,80.96,,
 (west indian cherry),raw,Acerola,100,32,0.3,0.1,0,7,0,14,0,0.4,0.309,0.06,0.02,767,38,0,0,0,0,0,0,0.009,1677.6,0,0,0,12,0.086,0.2,18,0,11,146,0.6,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,1.1,0,0,0,0,0,0,0,0.3,0.068,0.082,0.09,0,0,0.2,0,0,91.41,,
 mixed species,raw,Fish,100,105,4,0.9,60,54,56,15,0,8.3,0.75,0.07,0.07,700,210,0,0,0,0,0,2.2,0.2,0.0412.00,0.5,0.5,0.1,13,0.041,0.7,35,0.025,211,284,12.6,0.42,16.14,0.976,0.966,1.653,0.173,2.41,0.775,0.475,0,0.744,1.312,1.483,0.4780.630,0.571,0.659,0.708,0.181,0.545,0.832,0,0,0,0,0,0,0,0,0,4.04,0.915,1.939,0.69,60,0,1.1,0,0,76.55,,
,raw,Huckleberries,100,37,0.1,,0,10,0,0,0,0.3,0,0.03,0.01,79,0,0,0,0,0,0,0,0,2.8,0,0,0,15,0,0.3,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,90.7,,
 all classes,raw,Chicken,100,94,2.1,0.5,240,69,0,5,0,3.68,0.631,0.231,0.028,64,19,0,0,0,0,0,1.21,0.112,3.7,0.33,0.33,0,11,0.116,2.49,15,0.055,148,237,25.5,2.72,17.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,0.529,0.512,0.357,240,0,0.95,0,0,79.33,,
 meat only,raw,Duck,100,135,6,2.3,77,74,53.6,25,0,5.3,1.6,0.45,0.36,79,24,0,0,0,0,0,0.4,0.34,5.83.00,0.7,0.7,2.8,11,0.253,2.4,19,0.019,203,271,13.9,1.9,18.28,1.158,1.166,1.79,0.281,2.86,1.024,0.483,0,0.939,1.544,1.564,0.4940.766,0.898,0.787,0.781,0.254,0.696,0.956,0.94,0,0,0,0,0,0,0,0,5.95,2.32,1.54,0.75,77,0,1.06,0,0,73.77,,
 meat only,raw,Duck,100,123,4.3,1.3,77,57,0,25,0,3.444,0.77,0.31,0.416,53,16,0,0,0,0,0,0.76,0.63,6.2,0,0,0,3,0.33,4.51,22,0.019,186,268,13.9,0.74,19.85,1.258,1.267,1.944,0.305,3.106,1.112,0.524,0,1.019,1.677,1.699,0.5370.832,0.975,0.854,0.848,0.276,0.756,1.039,0,0,0,0,0,0,0,0,0,4.25,1.32,1.21,0.58,77,0,1.33,0,0,75.51,,
 (globe or french),raw,Artichokes,100,47,0.2,,0,94,34.4,68,0,1.046,0.338,0.066,0.072,13,1,0,8,0,464,0,0,0.116,11.70.00,0.19,0.19,14.8,44,0.231,1.28,60,0.256,90,370,0.2,0.49,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,5.4,0.99,0,0,0,0,0,0,0.15,0.036,0.005,0.064,0,0,1.13,0,0,84.94,,
 all varieties,raw,Squash,100,16,0.2,,0,2,6.7,29,0,0.487,0.155,0.142,0.048,200,10,0,120,0,2125,0,0,0.218,17.00.00,0.12,0.12,3,15,0.051,0.35,17,0.175,38,262,0.2,0.29,1.21,0.062,0.05,0.144,0.012,0.126,0.044,0.025,0,0.042,0.069,0.065,0.0170.041,0.037,0.048,0.028,0.011,0.031,0.053,3.35,1.1,2.2,0.95,0,0.75,0,0,0.03,0.18,0.044,0.016,0.089,0,0,0.62,0,0,94.64,,
 all varieties,raw,Squash,100,34,0.1,,0,4,10,24,0,0.5,0.188,0.062,0.03,1367,68,0,820,0,38,0,0,0.156,12.30.00,0.12,0.12,1.1,28,0.071,0.58,14,0.163,23,350,0.4,0.21,0.95,0.061,0.081,0.156,0.013,0.254,0.053,0.027,0,0.057,0.082,0.053,0.0180.057,0.052,0.057,0.043,0.021,0.049,0.062,8.59,1.5,2.2,0,0,0,0,0,0,0.13,0.027,0.01,0.056,0,0,0.57,0,0,89.76,,
,raw,Salmonberries,100,47,0.3,,0,14,0,17,0,0.466,0.167,0.062,0.041,496,50,41,277,0,0,0,0,0.078,9.2,1.61,1.61,14.8,13,0.03,0.4,15,1.1,27,110,0,0.28,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.05,1.9,3.66,1.75,0,1.9,0,0,0.02,0.33,0,0,0,0,0,0.56,0,0,88.21,,
 dishcloth (towelgourd),raw,Gourd,100,20,0.2,,0,3,0,7,0,0.4,0.218,0.06,0.05,410,0,0,0,0,0,0,0,0.043,12.00.00,0.1,0.1,0.7,20,0.035,0.36,14,0.092,32,139,0.2,0.07,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,1.1,2.02,0,0,0,0,0,0,0.2,0.016,0.037,0.087,0,0,0.4,0,0,93.85,,
 light meat,raw,Turkey from whole,100,114,1.5,0.3,57,113,53,7,0,9.924,0.775,0.145,0.042,20,6,0,0,0,0,0,0.63,0.813,0.05.00,0.06,0.06,0,11,0.07,0.73,28,0.011,201,242,22.7,1.28,23.66,1.279,1.34,1.892,0.223,3.209,1.01,0.641,0.11,0.678,1.64,1.952,0.6190.763,1.278,0.937,0.859,0.252,0.703,0.756,0.14,0,0.05,0,0,0,0,0,0.05,1.48,0.289,0.264,0.258,57,0,1.04,0,0,74.89,,
 mixed species,raw,Mollusks,100,86,1,0.2,30,601,65,5,0,0.35,0.148,0.04,0.015,300,90,0,0,0,0,0,11.28,0.01,0.01.00,0.68,0.68,0.2,39,0.053,1.62,19,0.085,198,46,30.6,0.51,14.67,0.885,1.21,1.608,0.175,2.248,0.64,0.3,0,0.693,1.2,1.123,0.4230.560,0.5,0.69,0.7,0.205,0.597,0.743,3.57,0,0,0,0,0,0,0,0,0.96,0.187,0.12,0.192,30,0,1.82,0,0,78.98,,
 farmed,raw,Fish,100,141,6.2,1.4,59,51,65,11,0,5.567,1.667,0.09,0.12,280,84,0,0,0,0,0,4.3,0.34,2.9635.00,2.34,2.34,0.1,25,0.046,0.31,25,0.011,226,377,23.6,0.45,19.94,1.262,1.249,2.137,0.224,3.115,1.002,0.614,0,0.962,1.696,1.916,0.6180.815,0.738,0.851,0.915,0.234,0.704,1.075,0,0,0,0,0,0,0,0,0,6.18,1.383,1.979,1.507,59,0,1.21,0,0,73.8,,
 meat,raw,Walrus,100,199,14,2.6,80,0,0,0,0,4.8,0,0.24,0.18,170,0,0,0,0,0,0,0,0,0,0,0,0,18,0,9.4,0,0,122,0,0,0,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,2.57,8.42,2.6,80,0,2.1,0,0,65.1,,
 sprouted,raw,Peas,100,124,0.7,0.1,0,20,0,144,0,3.088,1.029,0.155,0.225,166,0,0,0,0,0,0,0,0.265,10.40.00,0,0,0,36,0.272,2.26,56,0.438,165,381,0.6,1.05,8.8,0.245,0.484,0.656,0.155,1.017,0.208,0.167,0,0.171,0.365,0.384,0.0690.251,0.277,0.299,0.186,0,0.127,0.22,27.11,0,0,0,0,0,0,0,0,0.68,0.124,0.061,0.326,0,0,1.14,0,0,62.27,,
 wild,raw,Fish,100,95,2.8,0.7,58,43,0,10,0,1.907,0.765,0.072,0.21,50,15,0,0,0,0,0,2.23,0.116,0.7500.00,0,0,0,14,0.034,0.3,23,0.025,209,358,12.6,0.51,16.38,0.991,0.98,1.677,0.176,2.445,0.786,0.482,0,0.755,1.331,1.504,0.4850.639,0.579,0.668,0.718,0.183,0.553,0.844,0,0,0,0,0,0,0,0,0,2.82,0.722,0.844,0.865,58,0,0.96,0,0,80.36,,
 mixed species,raw,Fish,100,92,1,0.2,37,53,0,9,0,0.313,0.75,0.005,0.07,143,43,0,0,0,0,0,0.6,0.3,0,0,0,0,27,0.02,0.89,31,0.014,162,483,36.5,0.48,19.38,1.172,1.159,1.984,0.208,2.892,0.93,0.57,0,0.893,1.575,1.779,0.5740.756,0.685,0.791,0.849,0.217,0.654,0.998,0,0,0,0,0,0,0,0,0,1.02,0.233,0.202,0.321,37,0,1.17,0,0,79.22,,
 all classes,raw,Turkey,100,111,3.4,0.9,271,147,89.7,6,0,6.233,0.914,0.327,0.061,154,46,0,0,0,0,0,3.61,0.198,6.219.00,0.22,0.22,0,16,0.22,2.78,19,0.085,164,185,28.8,3.03,18.8,1.053,1.118,1.489,0.222,2.497,1.034,0.418,0.58,0.544,1.373,1.444,0.4830.704,1.161,0.821,0.692,0.208,0.605,0.674,0,0,0,0,0,0,0,0,0,3.37,0.929,0.795,0.708,271,0,0.93,0,0,77.47,,
 meat only,raw,Chicken,100,111,2.7,0.7,65,75,0,7,0,7.875,1.032,0.134,0.069,45,13,0,0,0,0,0,0.36,0.42,0,0.22,0.22,2.4,10,0.05,1.03,23,0.018,198,238,16.9,1.19,20.33,1.109,1.226,1.812,0.26,3.045,0.998,0.631,0,1.073,1.526,1.727,0.5630.807,0.836,0.7,0.859,0.237,0.686,1.008,0,0,0,0,0,0,0,0,0,2.7,0.67,0.83,0.67,65,0,1.07,0,0,74.94,,
 wild,raw,Fish,100,142,6.3,1,55,44,0,25,0,7.86,1.664,0.38,0.226,40,12,0,0,0,0,0,3.18,0.818,0,0,0,0,12,0.25,0.8,29,0.016,200,490,36.5,0.64,19.84,1.2,1.187,2.032,0.213,2.962,0.952,0.584,0,0.914,1.613,1.822,0.5870.775,0.702,0.809,0.87,0.222,0.67,1.022,0,0,0,0,0,0,0,0,0,6.34,0.981,2.103,2.539,55,0,2.54,0,0,68.5,,
 eye,raw,Caribou,100,326,31,,0,0,0,0,0,0.2,0,0.05,0.01,400,0,0,0,0,0,0,0,0,0,0,0,0,19,0,4.7,0,0,58,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.4,0,0,0,0,0,0.6,0,0,57.1,,
 dungeness,raw,Crustaceans,100,86,1,0.1,59,295,0,44,0,3.14,0.35,0.167,0.047,90,27,0,0,0,0,0,9,0.15,3.5,0,0,0,46,0.674,0.37,45,0.08,182,354,37.1,4.27,17.41,0.986,1.521,1.799,0.195,2.969,1.05,0.354,0,0.844,1.381,1.515,0.4900.735,0.574,0.685,0.705,0.242,0.579,0.819,0.74,0,0,0,0,0,0,0,0,0.97,0.132,0.167,0.317,59,0,1.7,0,0,79.18,,
 yellowfin,raw,Fish,100,109,0.5,0.2,39,45,65,2,0,18.475,0.28,0.115,0.118,60,18,0,0,0,0,0,2.08,0.933,0.069.00,0.24,0.24,0.1,4,0.036,0.77,35,0.011,278,441,90.6,0.37,24.4,1.414,1.399,2.394,0.251,3.489,1.122,0.688,0,1.077,1.9,2.147,0.6920.913,0.827,0.954,1.025,0.262,0.789,1.204,0,0,0,0,0,0,0,0,0,0.49,0.172,0.116,0.147,39,0,1.64,0,0,74.03,,
 mixed species,raw,Fish,100,100,1.3,0.3,37,64,65,5,0,0.284,0.75,0.003,0.046,106,32,0,0,0,0,0,3,0.4,1.6408.00,0.96,0.96,0.1,32,0.028,0.18,32,0.013,198,417,38.2,0.36,20.51,1.24,1.227,2.1,0.22,3.061,0.984,0.604,0,0.945,1.667,1.883,0.6070.801,0.725,0.837,0.899,0.23,0.692,1.056,0,0,0,0,0,0,0,0,0,1.34,0.285,0.251,0.459,37,0,1.31,0,0,76.87,,
 meat and skin,raw,Turkey,100,143,5.6,1.5,72,112,58,7,0,7.631,0.811,0.185,0.048,56,17,0,0,0,0,0,1.22,0.599,0.012.00,0.09,0.09,0,11,0.077,0.86,25,0.012,183,224,21.3,1.78,21.64,1.188,1.233,1.705,0.202,2.889,1.036,0.573,0.144,0.608,1.471,1.746,0.5540.688,1.22,0.848,0.768,0.223,0.627,0.686,0.13,0,0.07,0,0,0,0,0,0.07,5.64,1.461,1.826,1.466,72,0,0.98,0,0,72.69,,
